A,B
"Polygon ((100.41370674 38.56406437, 100.41363237 38.56400317, 100.41317977 38.56408324, 100.41318273 38.56408502, 100.41329564 38.56415276, 100.41330767 38.56416303, 100.41342221 38.56426086, 100.41354262 38.56436427, 100.41364235 38.56434162, 100.41365328 38.56427952, 100.4137008 38.56408829, 100.41370674 38.56406437))",1
"Polygon ((100.41387467 38.56421145, 100.41375073 38.56420723, 100.41369403 38.56428799, 100.41368768 38.56433574, 100.41363755 38.56438019, 100.41361369 38.56440146, 100.41363348 38.56442028, 100.41367024 38.564437, 100.41371685 38.56446122, 100.41363759 38.56450604, 100.41376747 38.56456548, 100.41390955 38.56462859, 100.41405523 38.56462683, 100.41416874 38.56459495, 100.41401204 38.56436101, 100.41397111 38.5642999, 100.41387467 38.56421145))",2
"Polygon ((100.40919049 38.56483822, 100.40927189 38.56477456, 100.40666602 38.56523546, 100.40667377 38.56524252, 100.40710479 38.56555194, 100.40722328 38.56571258, 100.40742137 38.56590801, 100.40760476 38.56612746, 100.40771699 38.56627864, 100.40823177 38.56621287, 100.40836942 38.56611111, 100.40843951 38.56596965, 100.40848467 38.56595004, 100.40827686 38.56572374, 100.40799221 38.56544832, 100.40797745 38.56543413, 100.40802011 38.56539109, 100.40842126 38.56516509, 100.40865704 38.56505167, 100.40904019 38.56489836, 100.40919049 38.56483822))",3
"Polygon ((100.41287215 38.56624507, 100.41290267 38.56620258, 100.41292917 38.56621227, 100.41299414 38.56619719, 100.41306249 38.56612248, 100.41317866 38.56608652, 100.41341704 38.56593588, 100.41355253 38.56584595, 100.41353388 38.56583483, 100.41341137 38.56571762, 100.41331659 38.56566328, 100.41329901 38.5656532, 100.4131924 38.56555112, 100.41309142 38.56545442, 100.41308369 38.56544702, 100.41309753 38.56540967, 100.41293711 38.5652746, 100.41285307 38.56520385, 100.41277539 38.56514329, 100.41275875 38.56512801, 100.41238902 38.56533887, 100.41219815 38.56514978, 100.41202091 38.56527585, 100.41207891 38.56538574, 100.41213628 38.56546322, 100.41215491 38.56549189, 100.41220389 38.56556727, 100.4121325 38.5655698, 100.41215547 38.56568523, 100.41219457 38.56594919, 100.41221278 38.56610389, 100.41222645 38.56625983, 100.41222956 38.56634083, 100.41228933 38.56640236, 100.41233024 38.56644448, 100.41243497 38.56652186, 100.41270192 38.56638774, 100.41282173 38.56630526, 100.41287215 38.56624507))",4
"Polygon ((100.41297341 38.56628901, 100.41295543 38.56627086, 100.41283808 38.56632376, 100.41266587 38.56645883, 100.41258639 38.5664999, 100.41252703 38.56653057, 100.41250651 38.56653912, 100.41246175 38.56655777, 100.4124755 38.56657619, 100.41251189 38.56665202, 100.41265386 38.56677066, 100.41271081 38.56673911, 100.41272764 38.56672978, 100.41277645 38.56669702, 100.41285348 38.56664532, 100.41312333 38.56647333, 100.41305206 38.56636837, 100.41297341 38.56628901))",5
"Polygon ((100.41360207 38.56587548, 100.41358513 38.56586538, 100.41345381 38.56595331, 100.41330225 38.56604213, 100.41309695 38.56617688, 100.41298316 38.56625691, 100.41301398 38.56628037, 100.4130959 38.56635564, 100.41320826 38.56643532, 100.41333105 38.56654791, 100.41335589 38.56657021, 100.41344912 38.56665394, 100.41348292 38.56666438, 100.41354666 38.56674106, 100.41366238 38.56683738, 100.41371538 38.56683078, 100.41379307 38.56676788, 100.41385898 38.56672299, 100.41411025 38.56653457, 100.41418041 38.56648196, 100.41414371 38.56637515, 100.4141114 38.56634021, 100.41409532 38.56632283, 100.41401933 38.56626883, 100.41393532 38.56618415, 100.41392292 38.56616904, 100.41383784 38.56610286, 100.41380805 38.56607607, 100.41379705 38.56606617, 100.41374491 38.56600817, 100.41362812 38.56590376, 100.41360207 38.56587548))",6
"Polygon ((100.41326895 38.56656166, 100.41315095 38.56648872, 100.41268205 38.56679577, 100.41279907 38.56689999, 100.41282468 38.56692173, 100.41293335 38.56701396, 100.41327501 38.56677657, 100.41330912 38.56675287, 100.41339287 38.56668894, 100.41331825 38.56659927, 100.41326895 38.56656166))",7
"Polygon ((100.40903297 38.56656698, 100.40912301 38.56650428, 100.40926837 38.56640839, 100.4091236 38.56650592, 100.40903297 38.56656698, 100.40904135 38.56659046, 100.40906272 38.5666157, 100.4090958 38.56664626, 100.40915692 38.56668742, 100.40921297 38.56670678, 100.4092697 38.56676073, 100.40934525 38.56680111, 100.40936322 38.56685046, 100.40943056 38.56694117, 100.40947921 38.56698134, 100.40948981 38.56702697, 100.40951958 38.56705903, 100.40956086 38.56705853, 100.40961412 38.56705026, 100.4096582 38.5670688, 100.40968965 38.5670627, 100.4098636 38.56693357, 100.4100505 38.56680991, 100.41007638 38.56679278, 100.41032059 38.56662896, 100.41055144 38.5664808, 100.41063297 38.56642427, 100.4107596 38.56633648, 100.41093325 38.56621284, 100.41112359 38.56608899, 100.41114276 38.566077, 100.41124205 38.56601487, 100.41140232 38.56590569, 100.41153413 38.56581592, 100.41176002 38.56564755, 100.41184022 38.56555721, 100.41184504 38.56553185, 100.41181753 38.5652817, 100.41181298 38.56513071, 100.4118109 38.56506141, 100.41179218 38.56491997, 100.41176734 38.56473228, 100.41176663 38.56470287, 100.41176373 38.56458193, 100.41176058 38.56445064, 100.41173623 38.56433863, 100.41090024 38.56448651, 100.41094258 38.56452658, 100.41101497 38.56459578, 100.41110579 38.56467619, 100.4110934 38.56469493, 100.41105584 38.56469872, 100.41099126 38.56462514, 100.41092459 38.56456874, 100.41083838 38.56450686, 100.41083143 38.56449869, 100.40990173 38.56466315, 100.40989629 38.56467617, 100.40986338 38.56473186, 100.4098446 38.56478133, 100.40978485 38.56493873, 100.40973043 38.56501184, 100.4097023 38.56506365, 100.40969083 38.56509811, 100.40963755 38.56517444, 100.40963177 38.56518272, 100.40961384 38.5652592, 100.40960494 38.56530125, 100.40958145 38.56534158, 100.4095414 38.56540498, 100.40952268 38.56544143, 100.40950879 38.56547592, 100.40947818 38.5655111, 100.40950011 38.56552427, 100.40953714 38.56554651, 100.40972784 38.56551847, 100.40997067 38.56547098, 100.41005335 38.56546116, 100.41022127 38.56541719, 100.41032861 38.56537967, 100.4103996 38.5653464, 100.41053332 38.56529236, 100.41074441 38.56515826, 100.41077 38.56517856, 100.41075387 38.56518722, 100.41045009 38.56536248, 100.41060003 38.56550129, 100.41062677 38.56553257, 100.41066259 38.56557449, 100.41072107 38.56564291, 100.41070165 38.56565507, 100.4105496 38.56551699, 100.41040668 38.56538, 100.41036353 38.56540912, 100.41020051 38.56545541, 100.41014756 38.56553575, 100.41010022 38.56553632, 100.41006744 38.56553672, 100.41000494 38.56550744, 100.40999755 38.56550181, 100.40955435 38.56557883, 100.40953435 38.56556602, 100.4094365 38.56566811, 100.40938044 38.56564676, 100.40935066 38.56571043, 100.4093235 38.56581181, 100.40928636 38.56589997, 100.40924979 38.56597702, 100.40921172 38.56605721, 100.40917761 38.56617584, 100.40915423 38.56621011, 100.40910679 38.56627965, 100.40903349 38.56638158, 100.40900177 38.56649827, 100.40900233 38.56652686, 100.40903297 38.56656698),(100.40967705 38.56569157, 100.40966627 38.5656796, 100.4096785 38.56569075, 100.40967705 38.56569157))",8
"Polygon ((100.41441279 38.5666293, 100.41424072 38.56649267, 100.41421212 38.56652018, 100.41402842 38.56664801, 100.41381804 38.56678713, 100.413809 38.56679444, 100.41369761 38.56688439, 100.41390606 38.56706538, 100.41401826 38.5669818, 100.41424292 38.56682775, 100.41446392 38.56667221, 100.41441279 38.5666293))",9
"Polygon ((100.41455724 38.56675053, 100.4144834 38.56668856, 100.4142989 38.56681873, 100.41409528 38.5669618, 100.41404317 38.56700482, 100.41394293 38.56708758, 100.41403411 38.56717109, 100.41414134 38.56709429, 100.41458624 38.56677564, 100.41455724 38.56675053))",10
