,0,1
0,100.41370674,38.56406437
0,100.41363237,38.56400317
0,100.41317977,38.56408324
0,100.41318273,38.56408502
0,100.41329564,38.56415276
0,100.41330767,38.56416303
0,100.41342221,38.56426086
0,100.41354262,38.56436427
0,100.41364235,38.56434162
0,100.41365328,38.56427952
0,100.4137008,38.56408829
0,100.41370674,38.56406437
1,100.41387467,38.56421145
1,100.41375073,38.56420723
1,100.41369403,38.56428799
1,100.41368768,38.56433574
1,100.41363755,38.56438019
1,100.41361369,38.56440146
1,100.41363348,38.56442028
1,100.41367024,38.564437
1,100.41371685,38.56446122
1,100.41363759,38.56450604
1,100.41376747,38.56456548
1,100.41390955,38.56462859
1,100.41405523,38.56462683
1,100.41416874,38.56459495
1,100.41401204,38.56436101
1,100.41397111,38.5642999
1,100.41387467,38.56421145
2,100.40919049,38.56483822
2,100.40927189,38.56477456
2,100.40666602,38.56523546
2,100.40667377,38.56524252
2,100.40710479,38.56555194
2,100.40722328,38.56571258
2,100.40742137,38.56590801
2,100.40760476,38.56612746
2,100.40771699,38.56627864
2,100.40823177,38.56621287
2,100.40836942,38.56611111
2,100.40843951,38.56596965
2,100.40848467,38.56595004
2,100.40827686,38.56572374
2,100.40799221,38.56544832
2,100.40797745,38.56543413
2,100.40802011,38.56539109
2,100.40842126,38.56516509
2,100.40865704,38.56505167
2,100.40904019,38.56489836
2,100.40919049,38.56483822
3,100.41287215,38.56624507
3,100.41290267,38.56620258
3,100.41292917,38.56621227
3,100.41299414,38.56619719
3,100.41306249,38.56612248
3,100.41317866,38.56608652
3,100.41341704,38.56593588
3,100.41355253,38.56584595
3,100.41353388,38.56583483
3,100.41341137,38.56571762
3,100.41331659,38.56566328
3,100.41329901,38.5656532
3,100.4131924,38.56555112
3,100.41309142,38.56545442
3,100.41308369,38.56544702
3,100.41309753,38.56540967
3,100.41293711,38.5652746
3,100.41285307,38.56520385
3,100.41277539,38.56514329
3,100.41275875,38.56512801
3,100.41238902,38.56533887
3,100.41219815,38.56514978
3,100.41202091,38.56527585
3,100.41207891,38.56538574
3,100.41213628,38.56546322
3,100.41215491,38.56549189
3,100.41220389,38.56556727
3,100.4121325,38.5655698
3,100.41215547,38.56568523
3,100.41219457,38.56594919
3,100.41221278,38.56610389
3,100.41222645,38.56625983
3,100.41222956,38.56634083
3,100.41228933,38.56640236
3,100.41233024,38.56644448
3,100.41243497,38.56652186
3,100.41270192,38.56638774
3,100.41282173,38.56630526
3,100.41287215,38.56624507
4,100.41297341,38.56628901
4,100.41295543,38.56627086
4,100.41283808,38.56632376
4,100.41266587,38.56645883
4,100.41258639,38.5664999
4,100.41252703,38.56653057
4,100.41250651,38.56653912
4,100.41246175,38.56655777
4,100.4124755,38.56657619
4,100.41251189,38.56665202
4,100.41265386,38.56677066
4,100.41271081,38.56673911
4,100.41272764,38.56672978
4,100.41277645,38.56669702
4,100.41285348,38.56664532
4,100.41312333,38.56647333
4,100.41305206,38.56636837
4,100.41297341,38.56628901
5,100.41360207,38.56587548
5,100.41358513,38.56586538
5,100.41345381,38.56595331
5,100.41330225,38.56604213
5,100.41309695,38.56617688
5,100.41298316,38.56625691
5,100.41301398,38.56628037
5,100.4130959,38.56635564
5,100.41320826,38.56643532
5,100.41333105,38.56654791
5,100.41335589,38.56657021
5,100.41344912,38.56665394
5,100.41348292,38.56666438
5,100.41354666,38.56674106
5,100.41366238,38.56683738
5,100.41371538,38.56683078
5,100.41379307,38.56676788
5,100.41385898,38.56672299
5,100.41411025,38.56653457
5,100.41418041,38.56648196
5,100.41414371,38.56637515
5,100.4141114,38.56634021
5,100.41409532,38.56632283
5,100.41401933,38.56626883
5,100.41393532,38.56618415
5,100.41392292,38.56616904
5,100.41383784,38.56610286
5,100.41380805,38.56607607
5,100.41379705,38.56606617
5,100.41374491,38.56600817
