品牌: glico/格力高	系列: 百奇10口味10盒	热销系列: 组合系列	口味: 百奇10口味10盒 百奇巧克力味10盒 百奇双重巧克力味10盒 百奇牛奶味10盒 百奇草莓味10盒 百奇抹茶味10盒 百奇蜜桃味10盒 百奇蓝莓树莓味10盒	产地: 中国大陆	省份: 上海	是否为有机食品: 否	包装方式: 包装	是否进口: 国产	糕点种类: 夹心饼干
厂名：童城（福建）营养食品有限公司	厂址：龙海市海澄食品工业区	厂家联系方式：15910255236	保质期：360 天	食品添加剂：不含	品牌: 布拉粉	适用年龄: 3岁	产地: 中国大陆	口味: 草莓饼干 胡萝卜饼干	包装种类: 盒装
生产许可证编号：SC10831011201332	厂名：上海江崎格力高食品有限公司闵行第二分公司	厂址：上海市闵行区江川路街道绿春路280号	厂家联系方式：021-63260088	保质期：365 天	品牌: glico/格力高	系列: 心心小圆饼系列	口味: 心心小圆饼芝士海盐味15g*20袋 心心小圆饼牛奶海盐味15g*20袋 心心小圆饼芝士海盐味15g*10袋+牛奶海盐味15g*10袋 心心小圆饼芝士海盐味15g*40袋 心心小圆饼牛奶海盐味15g*40袋	产地: 中国大陆	省份: 上海
厂名：北見鈴木製菓株式会社	厂址：北海道北見市東三輪1丁目96-46	厂家联系方式：0157-57-7881	配料表：白巧克力，小麦粉，白砂糖，鸡蛋清，人造奶油，起酥油，全脂牛奶等	储藏方法：常温	保质期：240 天	食品添加剂：无	品牌: PROAD	系列: PROAD草莓牛奶夹心饼干	口味: 草莓牛奶
厂名：脆饼干有限责任公司	厂址：俄罗斯	厂家联系方式：04566105667	配料表：高筋小麦粉、酸奶油、牛奶、白砂糖、麦淇淋、水、炼乳、鸡蛋粉	储藏方法：置于阴凉干燥处	保质期：365 天	食品添加剂：详见包装	品牌: 开心牛	系列: 拉丝饼	口味: 【2~3口味混合】混合口味150g×5 酸奶油口味150g 奶油巧克力味150g 奶酪味150g 奶油味150g 炼乳味150g 奶酪味150g×5 酸奶油口味150gx5 奶油巧克力味150gx5 奶油味150g×5 炼乳味150g×5
生产许可证编号：SC11335058100174	厂名：福建省石狮市天乐食品有限公司	厂址：福建省泉州市石狮市蚶江镇厝仔工业区20号	厂家联系方式：0595-83886886	配料表：小麦粉，白砂糖，食用植物油，食用盐等	储藏方法：处于阴凉干燥处	保质期：365 天	食品添加剂：详见包装	品牌: COCO FALL IN LOVE WITH	系列: 袋装马卡龙
厂名：Wan Thai Foods Industry Co. Ltd.	厂址：泰国	厂家联系方式：18819361672	保质期：540 天	品牌: 素玛哥（泰国）	系列: 蓝莓曲奇	热销系列: 其它	口味: 草莓果酱风味100g 蓝莓果酱风味100g	颜色分类: 曲奇	产地: 泰国
生产许可证编号：SC10832057100331	厂名：亿滋食品(苏州)有限公司湖西分公司	厂址：江苏省苏州工业园区白榆路51号	厂家联系方式：8008105536	保质期：270 天	品牌: 奥利奥	系列: 奥利奥97克116克	口味: 【季节限定款】樱花草莓味1盒+酸甜青梅味1盒 【季节限定款】酸甜青梅味97gX2盒【绿色饼干】 【季节限定款】樱花草莓味97gX2盒【粉色饼干】 【季节限定款】樱花草莓味2盒+酸甜青梅味2盒 【季节限定款】酸甜青梅味97gX4盒【绿色饼干】 【季节限定款】樱花草莓味97gX4盒【粉色饼干】 【季节限定款】酸甜青梅味388克X1盒【绿色饼干】 原味116gX3盒【黑色饼干】 巧克力味116gX3盒【黑色饼干】 草莓味116gX3盒【黑色饼干】 原味1盒+草莓味1盒+巧克力味1盒【黑色饼干】 【实惠4盒/116克】原味1+草莓味1+巧克力1+清甜味1 【实惠8盒/116克】原味2+草莓味2+巧克力2+清甜味2 生日蛋糕味97gX3盒【黑色饼干】 白桃乌龙味97gX3盒【黑色饼干】 香草味97gX3盒【黑色饼干】 双果（葡萄+蜜桃）味97gX3盒【黑色饼干】 【新口味】酸奶味97gX3盒【黑色饼干】 【薄款饼干】柠檬芝士味95gX3盒【黑色饼干】 【薄款饼干】提拉米苏味95gX3盒【黑色饼干】 【薄款饼干】草莓味95gX3盒【黑色饼干】 【薄款饼干】 香草味95gX3盒【黑色饼干】 【6盒混搭】2盒樱花味+2盒青梅味+2盒随机口味 【8盒混搭】2盒樱花味+2盒青梅味+4盒随机口味 【10盒混搭】2盒樱花味+2盒青梅味+6盒随机口味 【10盒不重样混搭】（95g/97g/116g/每盒）	产地: 中国大陆	省份: 江苏省
生产许可证编号：SC10844078300039	厂名：广东嘉士利食品集团有限公司	厂址：广东省江门市开平市长沙港口路18号	厂家联系方式：4006333876	配料表：详见包装	储藏方法：阴凉干燥处	保质期：365 天	食品添加剂：详见包装	品牌: 嘉士利	系列: 散装
生产许可证编号：SC10835068101790	厂名：龙海优麦嘉食品有限公司	厂址：龙海市海澄镇仓头村	厂家联系方式：0596-6735068	配料表：详见包装说明	储藏方法：置于阴凉干燥处，避免阳光直射	保质期：270 天	食品添加剂：详见包装说明	品牌: 欧贝拉	系列: .果酱夹心饼干.
